PROJ_CODE,PROJ_NAME,PROJ_SHORT,PRI_P_COM,LOC_SITE,LATITUDE,LONGITUDE,TECT_UNIT,EST_COM,EST_COM_AB,EST_COM_P,RES_QTY,RES_QTY_U,RES_QTY_G,RES_QTY_GU,RES_CON,RES_CON_U,ARES_CON,ARES_CON_U,RV_QTY,RV_QTY_U,RV_QTY_G,RV_QTY_GU,RV_CON,RV_CON_U,ARV_CON,ARV_CON_U,POINT_SIZE,POINT_UNIT,PROJ_URL,EXTRACT_DA
J03378,Balmoral South / Australasian Resources,Balmoral South,Iron,S0022599,-21.117837,116.129472,Hamersley Basin,Davis Tube Recovery (DTR),DTR,No,1605,million tonnes,33.2,percent,532.86,million tonnes,,,859,million tonnes,32.7,percent,280.893,million tonnes,,,813.753,million tonnes,https://minedex.dmirs.wa.gov.au/Web/projects/details/d5b8e11c-0b82-487a-a3d8-4cbeb3f03c44,19/10/2022
J03378,Balmoral South / Australasian Resources,Balmoral South,Iron,S0022599,-21.117837,116.129472,Hamersley Basin,Iron,Fe,Yes,1605,million tonnes,31.16292835,percent,500.165,million tonnes,,,859,million tonnes,31.2,percent,268.008,million tonnes,,,768.173,million tonnes,https://minedex.dmirs.wa.gov.au/Web/projects/details/d5b8e11c-0b82-487a-a3d8-4cbeb3f03c44,19/10/2022
J03378,Balmoral South / Australasian Resources,Balmoral South,Iron,S0022599,-21.117837,116.129472,Hamersley Basin,Iron - magnetic,FeMagnetic,No,1605,million tonnes,22.59158879,percent,362.595,million tonnes,,,859,million tonnes,22.6,percent,194.134,million tonnes,,,556.729,million tonnes,https://minedex.dmirs.wa.gov.au/Web/projects/details/d5b8e11c-0b82-487a-a3d8-4cbeb3f03c44,19/10/2022
J03911,Baltic Bore,Baltic Bore,Uranium,S0000960,-23.764884,115.278531,Gascoyne Province,Uranium oxide,U3O8,No,1.43,million tonnes,0.5,kilogram/tonne,0.715,kilotonne,,,,,,,,,,,0.715,kilotonne,https://minedex.dmirs.wa.gov.au/Web/projects/details/1ca22500-ee46-406f-a3e1-412a9ae48f26,19/10/2022
J00008,Bamboo Creek Gold,Bamboo Creek,Gold,S0019828,-21.093734,119.363358,Warrawoona  Large Igneous Province,Copper,Cu,No,2.6,million tonnes,0.52,percent,13.52,kilotonne,,,,,,,,,,,13.52,kilotonne,https://minedex.dmirs.wa.gov.au/Web/projects/details/76438ca8-3729-472c-bc5c-c47b50e44881,19/10/2022
J00008,Bamboo Creek Gold,Bamboo Creek,Gold,S0019828,-21.093734,119.363358,Warrawoona  Large Igneous Province,Gold,Au,Yes,16.701,million tonnes,0.97839052,gram/tonne,16340.1,kilogram,525346.4211,ounce (troy),0.211,million tonnes,3.63744076,gram/tonne,767.5,kilogram,24675.69832,ounce (troy),17107.6,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/76438ca8-3729-472c-bc5c-c47b50e44881,19/10/2022
J00008,Bamboo Creek Gold,Bamboo Creek,Gold,S0019828,-21.093734,119.363358,Warrawoona  Large Igneous Province,Silver,Ag,No,16.67,million tonnes,7.99346131,gram/tonne,133251,kilogram,4284119.188,ounce (troy),,,,,,,,,133251,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/76438ca8-3729-472c-bc5c-c47b50e44881,19/10/2022
J03486,Bamboo Creek Nickel,Bamboo Creek,Nickel,S0023507,-20.92964,120.207901,Kelly Large Igneous Province,Nickel,Ni,Yes,1.025,million tonnes,0.8,percent,8.2,kilotonne,,,,,,,,,,,8.2,kilotonne,https://minedex.dmirs.wa.gov.au/Web/projects/details/26f7ff71-6fc4-492c-a3d1-096105fb38c5,19/10/2022
J00897,Bandalup Magnesite,Bandalup,Magnesite,S0231542,-33.618062,120.365787,Youanmi Terrane,Magnesite,MgCO3,Yes,3.4101,million tonnes,100,percent,3410.1,kilotonne,,,,,,,,,,,3410.1,kilotonne,https://minedex.dmirs.wa.gov.au/Web/projects/details/e3a84b29-5de1-45b3-9f25-23ad54341e39,19/10/2022
J04199,Bannockburn / Northern Star,Bannockburn,Gold,S0003980,-28.458733,120.897025,Eastern Goldfields Superterrane,Gold,Au,Yes,15.06,million tonnes,1.7310757,gram/tonne,26070,kilogram,838169.9743,ounce (troy),8.8,million tonnes,1.6,gram/tonne,14080,kilogram,452682.5178,ounce (troy),40150,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/a061f431-a215-4af4-9872-9b050a7104cb,19/10/2022
