SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0230037,Boonanarring B,Boonanarring B,Mine,Openpit,Operating,J03897,Boonanarring - North Perth Basin,115.809028,-31.178217,386511,6550036,50,HM Ilm Zrn Leu Rt St Tur Ky Mnz,Speciality metal,HEAVY MINERAL SANDS,,N,,,,,Public,2035,GINGIN,SH50-14,PERTH,"GINGIN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Beermullah Trough,20221013
S0230111,Bollinger,Bollinger - Fraser Range Underground,Mine,Decline,Operating,J04167,Nova-Bollinger,123.194386,-31.819888,518397,6479512,51,Ni Cu Co,Steel alloy metal,NICKEL,Bollinger,Y,"Ni, Cu, Co",Y,,Operating Mine,Public,3534,SYMONS HILL,SH51-15,ZANTHUS,"DUNDAS, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",28,KURNALPI,Fraser Zone,20221013
S0230260,Boonanarring C,Boonanarring C,Mine,Openpit,Operating,J03897,Boonanarring - North Perth Basin,115.82177,-31.199586,387750,6547681,50,HM Ilm Zrn Leu Rt,Speciality metal,HEAVY MINERAL SANDS,Boonanarring,Y,"HM, Ilm, Zrn, Leu, Rt",Y,,Operating Mine,Public,2035,GINGIN,SH50-14,PERTH,"GINGIN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Beermullah Trough,20221013
S0230266,Taranto Rd Lot 24/Carbone,Taranto Rd Myalup Lot 24 / Carbone,Mine,Openpit,Operating,J03370,South West Operations  / Carbone,115.713037,-33.122272,379939,6334421,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2031,BUNBURY,SI50-06,COLLIE,"HARVEY, SHIRE OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,Mandurah Terrace,20221013
S0230268,Creighton Rd/El Paso,Creighton Road Lot M2119 Lennard Brook / El Paso,Mine,Openpit,Operating,J04374,Creighton Rd / El Paso,115.952275,-31.403365,400399,6525219,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2035,GINGIN,SH50-14,PERTH,"GINGIN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Beermullah Trough,20221013
S0230270,Ellery Rd Lot 14 South,Ellery Rd Lot 14 Yardarino - South,Mine,Openpit,Operating,J04376,Irwin Limesands,114.98068,-29.278365,303826,6759482,50,Lst Lsd,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,1839,DONGARA,SH50-05,DONGARA,"IRWIN, SHIRE OF","MID-WEST, Development Region",70,SOUTH WEST M.F.,Dongara Terrace,20221013
S0230271,Reserve Rd Lot 22 Muchea Sand,Reserve Road Lot 22 Muchea Sand,Mine,Openpit,Operating,J04377,Muchea Sand and Gravel / Wright,115.993394,-31.541304,404448,6509966,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2034,PERTH,SH50-14,PERTH,"CHITTERING, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Beermullah Trough,20221013
S0230272,Reserve Rd Lot 22 Muchea Gravel,Reserve Road Lot 22 Muchea Gravel,Mine,Openpit,Operating,J04377,Muchea Sand and Gravel / Wright,115.996546,-31.541277,404747,6509972,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2034,PERTH,SH50-14,PERTH,"CHITTERING, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Beermullah Trough,20221013
S0230299,Young,Young,Mine,Openpit,Operating,J01407,East Pilbara Iron Ore / FMG,119.803081,-22.39782,788605,7520447,50,Fe Mn,Iron,IRON ORE,,N,,,,,Public,2853,WARRIE,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",46,NULLAGINE,Hamersley Basin,20221013
S0230313,Mogumber Rd West Lot 106/Catalano,Mogumber Rd West Lot 106  Red Gully / Catalano,Mine,Openpit,Operating,J04381,Red Gully Gravel / Catalano,115.753429,-30.992554,380981,6570557,50,Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2036,DANDARAGAN,SH50-10,MOORA,"GINGIN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Dandaragan Trough,20221013
S0230314,Calinup Rd Lot 677 and 679/Carbone,Calinup Rd Gelorup Lot 677 and 679 / Carbone,Mine,Openpit,Operating,J03370,South West Operations  / Carbone,115.622643,-33.442079,371973,6298854,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2031,BUNBURY,SI50-06,COLLIE,"CAPEL, SHIRE OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,Bunbury Trough,20221013
S0230357,Venus,Venus - Leinster,Mine,Decline,Operating,J00440,Leinster,120.705816,-27.813744,274009,6921318,51,Ni,Steel alloy metal,NICKEL,Venus,Y,Ni,Y,,Operating Mine,Public,3042,SIR SAMUEL,SG51-13,SIR SAMUEL,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",36,LAWLERS,Eastern Goldfields Superterrane,20221013
S0230393,HD1 NW,Hope Downs 1 North West,Mine,Openpit,Operating,J00685,Hope Downs Joint Venture,119.099793,-22.951863,715300,7460270,50,Fe,Iron,IRON ORE,,N,,,,,Public,2752,WEELI WOLLI,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20221013
S0230394,HD1 NE3,Hope Downs 1 North East 3,Mine,Openpit,Operating,J00685,Hope Downs Joint Venture,119.137386,-22.953708,719153,7460010,50,Fe,Iron,IRON ORE,,N,,,,,Public,2752,WEELI WOLLI,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20221013
