PROJ_CODE,PROJ_NAME,PRI_P_COM,RES_QTY,TOT_MIN_RES_QUANTITY,RES_CON,TOT_MIN_RES_CONT_COM_UNIT,RES_ALT_CONT_COM,TOT_MIN_RES_ALT_CONT_COM_UNIT
J02490,Millrose,Gold,6.0,million tonnes,10720.0,kilotonne,344656.0078,ounce (troy)
J03366,Minara,Nickel,2.53,million tonnes,17.71,kilotonne,,
J00536,Mindy Mindy,Iron,1617.0,million tonnes,956.579,kilotonne,,
J02199,Minestat Gold Mining Centres,Gold,0.16899999999999998,million tonnes,431.7,kilotonne,13879.477480000001,ounce (troy)
J04792,Minyari Dome,Gold,36.489000000000004,million tonnes,57403.23,kilotonne,1845556.725,ounce (troy)
J04392,Miralga Creek,Iron,8.4021,million tonnes,4.810116000000001,kilotonne,,
J04103,Mon Ami Gold,Gold,2.66,million tonnes,3597.1,kilotonne,115649.45199999999,ounce (troy)
J00148,Montague Gold,Gold,10.073,million tonnes,16551.4,kilotonne,532139.8739,ounce (troy)
J02424,Monument - Korong,Gold,3.2569999999999997,million tonnes,4715.9,kilotonne,151619.7078,ounce (troy)
J00236,Mosquito Creek / Nimble,Gold,12.413,million tonnes,7047.44,kilotonne,226580.4604,ounce (troy)
J03827,Mt Alexander Magnetite,Iron,591.6,million tonnes,175.5893,kilotonne,,
J03467,Mt Bevan,Iron,1169.0,million tonnes,408.184,kilotonne,,
J05718,Mt Cattlin Gold,Gold,0.26,million tonnes,1125.0339999999999,kilotonne,36170.6835,ounce (troy)
J00240,Mt Celia - Kangaroo Bore,Gold,6.972,million tonnes,9718.2,kilotonne,312447.3895,ounce (troy)
J03158,Mt Clement - Eastern Hills,Gold,1.3123479999999998,million tonnes,433.06268,kilotonne,13923.28866,ounce (troy)
J04614,Mt Day - Cat Camp / Matsa,Nickel,2.2302,million tonnes,11.59704,kilotonne,,
J01671,Mt Dimer / Taipan,Gold,0.7227,million tonnes,1514.043,kilotonne,48677.61344,ounce (troy)
J01033,Mt Dimer / Toil,Gold,0.53637,million tonnes,2590.8107,kilotonne,83296.49934,ounce (troy)
J00414,Mt Dockrell Gold,Gold,0.324,million tonnes,224.0,kilotonne,7201.767328,ounce (troy)
J03319,Mt Dove - Turner River,Iron,0.77,million tonnes,0.44685,kilotonne,,
J02592,Mt Edwards Nickel,Nickel,10.6851,million tonnes,169.20253,kilotonne,,
J03321,Mt Elvire - West Pilbara / API,Iron,1343.0,million tonnes,746.3406,kilotonne,,
J02794,Mt Finnerty Iron,Iron,4.66,million tonnes,2.4961,kilotonne,,
J04063,Mt Fisher Gold,Gold,1.024761,million tonnes,2913.5164800000002,kilotonne,93671.73122999999,ounce (troy)
J02185,Mt Forrest - Bulga Downs Gold,Gold,0.4,million tonnes,1120.0,kilotonne,36008.836639999994,ounce (troy)
J03574,Mt Forrest - Bulga Downs Iron,Iron,1775.985746,million tonnes,568.375078,kilotonne,,
J03374,Mt Gibson / Gindalbie,Iron,644.0,million tonnes,194.488,kilotonne,,
