SITE_CODE,PROJ_CODE,TITLE,SUB_TYPE,STAGE,PROJECT_TITLE,LONGITUDE,LATITUDE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,LGA_NAME,DISTRICT_NAME,TECTONIC_UNIT
S0003946,J01307,Gordon-Sirdar Openpit,Openpit,Operating,Gordon - Sirdar,121.594498,-30.45035,Au Ag,Precious metal,GOLD,"KALGOORLIE-BOULDER, CITY OF",KANOWNA,Eastern Goldfields Superterrane
S0004141,J00147,Deflector Central,Openpit,Operating,Deflector,116.379426,-28.669106,Au Cu Ag,Precious metal,GOLD,"YALGOO, SHIRE OF",YALGOO M.F.,Youanmi Terrane
S0004149,J00417,Salmon - Salmon East and North,Openpit,Operating,Plutonic Gold,119.54540300000001,-25.299311,Au Ag,Precious metal,GOLD,"MEEKATHARRA, SHIRE OF",PEAK HILL M.F.,Eastern Goldfields Superterrane
S0004153,J00094,Million Dollar South,Openpit,Operating,Porphyry - Northern Operations,122.285777,-29.804468,Au Ag,Precious metal,GOLD,"MENZIES, SHIRE OF",YERILLA,Yilgarn Craton granites
S0004154,J01617,Curara Well - Kirkalocka,Openpit,Operating,Kirkalocka,117.76153799999999,-28.674934999999998,Au Ag,Precious metal,GOLD,"MOUNT MAGNET, SHIRE OF",YALGOO M.F.,Youanmi Terrane
S0004221,J00017,Paddys Flat Underground,Decline,Operating,Cue Gold - Central Murchison,118.50859799999999,-26.60535,Au Ag,Precious metal,GOLD,"MEEKATHARRA, SHIRE OF",MEEKATHARRA,Youanmi Terrane
S0004288,J02719,Beta Hunt Underground Nickel,Decline,Operating,Kambalda Nickel / RNC,121.68996100000001,-31.242554,Ni Cu,Steel alloy metal,NICKEL,"COOLGARDIE, SHIRE OF",COOLGARDIE,Eastern Goldfields Superterrane
S0004297,J00084,Riverina Openpit,Openpit,Operating,Davyhurst - Lady Ida - Mulline - Riverina - Siberia Gold,120.564972,-29.744602,Au Ag,Precious metal,GOLD,"MENZIES, SHIRE OF",ULARRING,Eastern Goldfields Superterrane
S0004301,J04253,Jaurdi,Openpit,Operating,Jaurdi - Cammi's Creek,120.925003,-30.688709000000003,Au Ag,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",KUNANALLING,Eastern Goldfields Superterrane
S0004348,J00276,28 Pit - SBS28,Openpit,Operating,South Kalgoorlie Operations,121.246201,-30.963989,Au Ag,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",COOLGARDIE,Eastern Goldfields Superterrane
S0004460,J02854,Goldstream,Openpit,Operating,Marda / Southern Cross,119.28058700000001,-30.202968,Au Ag,Precious metal,GOLD,"YILGARN, SHIRE OF",YILGARN M.F.,Youanmi Terrane
S0004462,J02854,Cobra - Marda,Unspecified,Operating,Marda / Southern Cross,119.247803,-30.19342,Au Ag,Precious metal,GOLD,"YILGARN, SHIRE OF",YILGARN M.F.,Youanmi Terrane
S0004468,J02854,King Brown - Marda,Openpit,Operating,Marda / Southern Cross,119.119377,-30.116279,Au Ag,Precious metal,GOLD,"YILGARN, SHIRE OF",YILGARN M.F.,Youanmi Terrane
S0004505,J01703,Golden Delicious,Openpit,Operating,Sunrise Dam,122.45934199999999,-29.013648,Au Ag,Precious metal,GOLD,"LAVERTON, SHIRE OF",MT. MARGARET,Eastern Goldfields Superterrane
S0004551,J00017,Great Fingall Openpit,Openpit,Operating,Cue Gold - Central Murchison,117.85805,-27.461047999999998,Au Ag,Precious metal,GOLD,"CUE, SHIRE OF",DAY DAWN,Youanmi Terrane
S0004578,J00725,Extension Cord,Openpit,Operating,Woodie Woodie (Mining Corridor) / ConsMin,121.24383600000002,-21.652707999999997,Mn,Steel alloy metal,MANGANESE ORE,"EAST PILBARA, SHIRE OF",MARBLE BAR,Hamersley Basin
S0004791,J00082,Darlot Underground,Decline,Operating,Darlot,121.268898,-27.887528999999997,Au Ag,Precious metal,GOLD,"LEONORA, SHIRE OF",MT. MALCOLM,Eastern Goldfields Superterrane
S0004877,J00251,Santa,Decline,Operating,Randalls - Mt Monger,122.209736,-31.040615000000003,Au Ag,Precious metal,GOLD,"KALGOORLIE-BOULDER, CITY OF",BULONG,Eastern Goldfields Superterrane
S0004886,J00019,Janet Ivy,Openpit,Operating,Binduli,121.383328,-30.774466999999998,Au Ag,Precious metal,GOLD,"KALGOORLIE-BOULDER, CITY OF",EAST COOLGARDIE,Eastern Goldfields Superterrane
S0004927,J00017,Maid Marion - Meekatharra North,Openpit,Operating,Cue Gold - Central Murchison,118.5933,-26.46312,Au Ag,Precious metal,GOLD,"MEEKATHARRA, SHIRE OF",MEEKATHARRA,Youanmi Terrane
S0004954,J00358,Moonbeam,Openpit,Operating,Kundana - White Flag,121.243797,-30.7213,Au Ag,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",KUNANALLING,Eastern Goldfields Superterrane
S0004988,J04242,Vivien,Openpit,Operating,Vivien,120.568522,-27.976476,Au Ag,Precious metal,GOLD,"LEONORA, SHIRE OF",LAWLERS,Eastern Goldfields Superterrane
S0004991,J00184,Atriedes - Karonie,Openpit,Operating,Aldiss - Karonie,122.559575,-31.065608,Au Ag,Precious metal,GOLD,"KALGOORLIE-BOULDER, CITY OF",KURNALPI,Eastern Goldfields Superterrane
